uri,book_id,name,author_name,author_movement,genre,abstract,Rating_1,Rating_2,Rating_3,Rating_4,Rating_5,Avg_Rating
http://dbpedia.org/resource/Perfume_(novel),436,Perfume (novel),Patrick Süskind,Magic realism,Absurdism,"Perfume: The Story of a Murderer is a 1985 literary historical cross-genre novel (originally published in German as Das Parfum) by German writer Patrick Süskind. The novel explores the sense of smell and its relationship with the emotional meaning that scents may carry. Above all it is a story of identity, communication and the morality of the human spirit. The novel was translated into English by John E. Woods and won the PEN Translation Prize in 1987.The story focuses on Jean-Baptiste Grenouille, a perfume apprentice in 18th-century France who, born with no body scent himself, begins to stalk and murder virgins in search of the 'perfect scent', which he finds in a young woman named Laure, whom his acute sense of smell finds in a secluded private garden in Grasse.Some editions of Perfume, including the first, have as their cover image Antoine Watteau's  painting Jupiter and Antiope, which depicts a sleeping woman.",1848,4897,5472,3098,4181,3.14705580631925
http://dbpedia.org/resource/Murphy_(novel),1922,Murphy (novel),Samuel Beckett,Modernism,Absurdist fiction,"Murphy, first published in 1938, is an avant-garde novel as well as the third work of prose fiction by the Irish author and dramatist Samuel Beckett. The book was Beckett's second published prose work after the short-story collection More Pricks than Kicks (published in 1934) and his unpublished first novel Dream of Fair to Middling Women (published posthumously in 1992). It was written in English, rather than the French of much of Beckett's later writing. After many rejections, it was published by Routledge on the recommendation of Beckett's painter friend Jack Butler Yeats.",771,3752,9157,1867,2779,3.11628287678708
http://dbpedia.org/resource/Mr._Vertigo,1789,Mr. Vertigo,Paul Auster,Postmodernism,Absurdist fiction,"Mr. Vertigo is a novel written by the American author Paul Auster. Faber & Faber first published it in 1994 in Great Britain. The book fits well in Auster’s bibliography, which has reappearing themes like failure and identity and genres like absurdist fiction, crime fiction and existentialism.Mr. Vertigo tells the story of Walter Claireborne Rawley, in short Walt. He is a neglected orphan dwelling on the streets of St. Louis. Master Yehudi takes the boy to a lone house in the countryside to teach Walt how to fly. Throughout the story, they encounter real-life dangers like the Ku Klux Klan and the Chicago Mob.",3475,8970,6172,4402,3773,2.85174679008659
http://dbpedia.org/resource/City_of_Heavenly_Fire,718,City of Heavenly Fire,Cassandra Clare,Fantasy of manners,Adventure,"City of Heavenly Fire is the sixth and final installment in The Mortal Instruments. City of Heavenly Fire was released on May 27, 2014",2423,323,2548,3273,5276,3.62529798454092
http://dbpedia.org/resource/City_of_Heavenly_Fire,724,City of Heavenly Fire,Cassandra Clare,Urban fantasy,Adventure,"City of Heavenly Fire is the sixth and final installment in The Mortal Instruments. City of Heavenly Fire was released on May 27, 2014",669,1777,6249,611,4431,3.46283759190507
http://dbpedia.org/resource/Clockwork_Princess,716,Clockwork Princess,Cassandra Clare,Fantasy of manners,Adventure,"Clockwork Princess is the third and final novel in The Infernal Devices series by Cassandra Clare. It describes the adventures of Tessa Gray leading up to her final battle. Although the novel is written in third person, it is from the protagonist's perspective.",1003,7169,7288,4542,7855,3.3976379366048
http://dbpedia.org/resource/Clockwork_Princess,755,Clockwork Princess,Cassandra Clare,Contemporary fantasy,Adventure,"Clockwork Princess is the third and final novel in The Infernal Devices series by Cassandra Clare. It describes the adventures of Tessa Gray leading up to her final battle. Although the novel is written in third person, it is from the protagonist's perspective.",1828,5586,4573,5296,6264,3.36446256423324
http://dbpedia.org/resource/City_of_Fallen_Angels,756,City of Fallen Angels,Cassandra Clare,Contemporary fantasy,Adventure,"City of Fallen Angels is the fourth book in the The Mortal Instruments series by Cassandra Clare. The series was meant to end with City of Glass; it was announced in March 2010 that a fourth book would be added, with Cassandra Clare later saying that she views this as a 'second trilogy' in the series. The book was released on April 5, 2011.",5036,5293,6168,9991,6263,3.21837501145003
http://dbpedia.org/resource/Clockwork_Angel,719,Clockwork Angel,Cassandra Clare,Fantasy of manners,Adventure,"Clockwork Angel is a novel written by Cassandra Clare. It is the first novel in the Infernal Devices trilogy. Tessa Gray (one of the main characters), goes to London to live with her brother. When she gets there she is captured by two cruel twins who go by the name of 'the Dark Sisters' for six weeks until William Herondale (a Shadowhunter) comes and rescues Tessa.The book became a best-seller in the New York Times list, debuting number 1 on the children's bestselling list.The book also contains many quotes referring to famous pieces of Victorian literature, for example, Oscar Wilde's The Importance of Being Earnest, Charles Dickens' A Tale of Two Cities, and the works of Samuel Taylor Coleridge and Alfred Tennyson.",1046,9796,7527,2689,5620,3.07650498538121
http://dbpedia.org/resource/City_of_Lost_Souls_(novel),720,City of Lost Souls (novel),Cassandra Clare,Urban fantasy,Adventure,"City of Lost Souls is the fifth book in the The Mortal Instruments series by Cassandra Clare. City of Lost Souls was released on May 8, 2012 and was followed by the sixth and final book in the series, City of Heavenly Fire in 2014.",3758,5271,1676,7355,2461,2.97514740997027
http://dbpedia.org/resource/City_of_Fallen_Angels,717,City of Fallen Angels,Cassandra Clare,Fantasy of manners,Adventure,"City of Fallen Angels is the fourth book in the The Mortal Instruments series by Cassandra Clare. The series was meant to end with City of Glass; it was announced in March 2010 that a fourth book would be added, with Cassandra Clare later saying that she views this as a 'second trilogy' in the series. The book was released on April 5, 2011.",2482,1391,8880,5578,41,2.96217069453516
http://dbpedia.org/resource/Clockwork_Angel,758,Clockwork Angel,Cassandra Clare,Contemporary fantasy,Adventure,"Clockwork Angel is a novel written by Cassandra Clare. It is the first novel in the Infernal Devices trilogy. Tessa Gray (one of the main characters), goes to London to live with her brother. When she gets there she is captured by two cruel twins who go by the name of 'the Dark Sisters' for six weeks until William Herondale (a Shadowhunter) comes and rescues Tessa.The book became a best-seller in the New York Times list, debuting number 1 on the children's bestselling list.The book also contains many quotes referring to famous pieces of Victorian literature, for example, Oscar Wilde's The Importance of Being Earnest, Charles Dickens' A Tale of Two Cities, and the works of Samuel Taylor Coleridge and Alfred Tennyson.",2986,6314,6323,4155,3480,2.94965173273712
http://dbpedia.org/resource/City_of_Lost_Souls_(novel),714,City of Lost Souls (novel),Cassandra Clare,Fantasy of manners,Adventure,"City of Lost Souls is the fifth book in the The Mortal Instruments series by Cassandra Clare. City of Lost Souls was released on May 8, 2012 and was followed by the sixth and final book in the series, City of Heavenly Fire in 2014.",2373,837,3854,2094,858,2.82298322683706
http://dbpedia.org/resource/City_of_Fallen_Angels,723,City of Fallen Angels,Cassandra Clare,Urban fantasy,Adventure,"City of Fallen Angels is the fourth book in the The Mortal Instruments series by Cassandra Clare. The series was meant to end with City of Glass; it was announced in March 2010 that a fourth book would be added, with Cassandra Clare later saying that she views this as a 'second trilogy' in the series. The book was released on April 5, 2011.",8167,6411,6863,1261,7540,2.78824151841809
http://dbpedia.org/resource/City_of_Lost_Souls_(novel),753,City of Lost Souls (novel),Cassandra Clare,Contemporary fantasy,Adventure,"City of Lost Souls is the fifth book in the The Mortal Instruments series by Cassandra Clare. City of Lost Souls was released on May 8, 2012 and was followed by the sixth and final book in the series, City of Heavenly Fire in 2014.",7109,8300,6234,7872,3226,2.749732750985
http://dbpedia.org/resource/Clockwork_Prince,715,Clockwork Prince,Cassandra Clare,Fantasy of manners,Adventure,"Clockwork Prince is a novel written by Cassandra Clare. It is the second novel in the Infernal Devices trilogy and is written through the perspective of the protagonist, Tessa Gray, who lives at the London Institute among Shadowhunters, a group of half-angel-half-human beings called Nephilim. After the recent failings of Charlotte, the manager of the Institute, the Council of Shadowhunters begin to question her ability to lead. Now Tessa and her friends must find Mortmain – an evil industrialist bent on destroying all the Nephilim in the world - or risk losing control of the Institute.The book also contains many quotes referring to famous pieces of Victorian literature, for example, Alfred Tennyson's The Palace of Art, Charles Dickens' A Tale of Two Cities, and the works of Samuel Taylor Coleridge.",3761,9167,3238,5876,1852,2.7024776094417
http://dbpedia.org/resource/Clockwork_Prince,721,Clockwork Prince,Cassandra Clare,Urban fantasy,Adventure,"Clockwork Prince is a novel written by Cassandra Clare. It is the second novel in the Infernal Devices trilogy and is written through the perspective of the protagonist, Tessa Gray, who lives at the London Institute among Shadowhunters, a group of half-angel-half-human beings called Nephilim. After the recent failings of Charlotte, the manager of the Institute, the Council of Shadowhunters begin to question her ability to lead. Now Tessa and her friends must find Mortmain – an evil industrialist bent on destroying all the Nephilim in the world - or risk losing control of the Institute.The book also contains many quotes referring to famous pieces of Victorian literature, for example, Alfred Tennyson's The Palace of Art, Charles Dickens' A Tale of Two Cities, and the works of Samuel Taylor Coleridge.",3328,6872,1091,4709,1593,2.6798158358438
http://dbpedia.org/resource/Clockwork_Prince,754,Clockwork Prince,Cassandra Clare,Contemporary fantasy,Adventure,"Clockwork Prince is a novel written by Cassandra Clare. It is the second novel in the Infernal Devices trilogy and is written through the perspective of the protagonist, Tessa Gray, who lives at the London Institute among Shadowhunters, a group of half-angel-half-human beings called Nephilim. After the recent failings of Charlotte, the manager of the Institute, the Council of Shadowhunters begin to question her ability to lead. Now Tessa and her friends must find Mortmain – an evil industrialist bent on destroying all the Nephilim in the world - or risk losing control of the Institute.The book also contains many quotes referring to famous pieces of Victorian literature, for example, Alfred Tennyson's The Palace of Art, Charles Dickens' A Tale of Two Cities, and the works of Samuel Taylor Coleridge.",8334,5227,5997,8874,1565,2.67026702670267
http://dbpedia.org/resource/Clockwork_Angel,725,Clockwork Angel,Cassandra Clare,Urban fantasy,Adventure,"Clockwork Angel is a novel written by Cassandra Clare. It is the first novel in the Infernal Devices trilogy. Tessa Gray (one of the main characters), goes to London to live with her brother. When she gets there she is captured by two cruel twins who go by the name of 'the Dark Sisters' for six weeks until William Herondale (a Shadowhunter) comes and rescues Tessa.The book became a best-seller in the New York Times list, debuting number 1 on the children's bestselling list.The book also contains many quotes referring to famous pieces of Victorian literature, for example, Oscar Wilde's The Importance of Being Earnest, Charles Dickens' A Tale of Two Cities, and the works of Samuel Taylor Coleridge and Alfred Tennyson.",2482,3520,1668,3945,263,2.66214850985014
http://dbpedia.org/resource/Clockwork_Princess,722,Clockwork Princess,Cassandra Clare,Urban fantasy,Adventure,"Clockwork Princess is the third and final novel in The Infernal Devices series by Cassandra Clare. It describes the adventures of Tessa Gray leading up to her final battle. Although the novel is written in third person, it is from the protagonist's perspective.",6389,6306,5422,3747,3247,2.64784357452909
http://dbpedia.org/resource/City_of_Heavenly_Fire,757,City of Heavenly Fire,Cassandra Clare,Contemporary fantasy,Adventure,"City of Heavenly Fire is the sixth and final installment in The Mortal Instruments. City of Heavenly Fire was released on May 27, 2014",7741,8867,3687,7465,3007,2.64669938570546
http://dbpedia.org/resource/The_Prairie,729,The Prairie,James Fenimore Cooper,Romanticism,Adventure fiction,"The Prairie: A Tale (1827) is a novel by James Fenimore Cooper, the third novel written by him featuring Natty Bumppo. His fictitious frontier hero Bumppo is never called by his name, but is instead referred to as 'the trapper' or 'the old man.' Chronologically The Prairie is the fifth and final installment of the Leatherstocking Tales, though it was published before The Pathfinder (1840) and The Deerslayer (1841). It depicts Natty in the final year of his life still proving helpful to people in distress on the American frontier. The book frequently references characters and events from the two books previously published in the Leatherstocking Tales as well as the two which Cooper wouldn’t write for more than ten years. Continuity with The Last of the Mohicans is indicated by the appearance of the grandson of Duncan and Alice Heyward, as well as the noble Pawnee chief Hard Heart, whose name is English for the French nickname for the Delaware, le Coeur-dur.",1470,158,7193,5708,6925,3.76722289549734
http://dbpedia.org/resource/Post_Oaks_&_Sand_Roughs,1616,Post Oaks & Sand Roughs,Robert E. Howard,Sword and sorcery,Adventure fiction,"Post Oaks & Sand Roughs is a semi-autobiographical adventure novel by Robert E. Howard.  It was first published in 1989 in France by NéO (Nouvelles Editions Oswald) under the title of 'Le Rebelle', since 1990 by Donald M. Grant, Publisher, Inc. in an edition of 850 copies.  The book contains an introduction and appendix by Glenn Lord where Lord identifies the real people who appear as thinly disguised characters in the novel.",370,3892,3860,2857,7928,3.74475062146295
http://dbpedia.org/resource/Angels'_Fall,1271,Angels' Fall,Frank Herbert,New Wave science fiction,Adventure fiction,Angels' Fall is an adventure/thriller novel written by Frank Herbert in 1957 and published posthumously in 2013.,3811,923,3956,6790,8442,3.63243039879609
http://dbpedia.org/resource/The_First_Garment,48,The First Garment,Guram Dochanashvili,Satire,Adventure fiction,"The First Garment is a novel by a Georgian writer Guram Dochanashvili which serves as a retelling of The Parable of the Lost Son from the Bible. The plot follows a young, inexperienced, adventure-seeking man named Domenico who is deeply affected by the appearance and stories of a mysterious refugee in his village, and thus decides to take his inheritance and leave the village to go on adventuring. Over the years, Domenico meets many different people and gets caught up in the War of Canudos.",1710,5782,914,8241,8371,3.63078583419938
http://dbpedia.org/resource/Black_Vulmea's_Vengeance,1613,Black Vulmea's Vengeance,Robert E. Howard,Weird fiction,Adventure fiction,"Black Vulmea's vengeance & Other Tales of Pirates is a collection of Adventure short stories about pirates by Robert E. Howard.  It was first published in 1976 by Donald M. Grant, Publisher, Inc. in an edition of 2,750 copies.  The title story first appeared in the magazine Golden Fleece in 1938.",2461,318,6248,1272,7550,3.62367639643678
http://dbpedia.org/resource/The_Abysmal_Brute,1621,The Abysmal Brute,Jack London,Realism (arts),Adventure fiction,"The Abysmal Brute is a novel by American writer Jack London, first published in book form in 1913. It is a short novel, and could be regarded as a novelette. It first appeared in September 1911 in Popular Magazine.In the story, a successful boxer, who was brought up in a log cabin and knows little of the real world, begins to realize the corrupt practices in the game of boxing.",55,9905,2321,7816,8898,3.53792033109157
http://dbpedia.org/resource/Georges_(novel),2345,Georges (novel),Alexandre Dumas,Historical fiction,Adventure fiction,"Georges is a short novel by Alexandre Dumas, père set on the island of Mauritius, from 1810 to 1824. This novel is of particular interest to scholars because Dumas reused many of the ideas and plot devices later in The Count of Monte Cristo, and because race and racism are at the center of this novel, and this was a topic on which Dumas, despite his part-African ancestry, rarely wrote.Georges was first published in 1843.  It has been republished in English as George; or, the Planter of the Isle of France.A new translation by Tina Kover, edited by Werner Sollors and with an introduction by Jamaica Kincaid, was published by Random House, Inc./Modern Library in May 2007.",2195,7527,93,5578,8286,3.43215507411631
http://dbpedia.org/resource/The_First_Garment,49,The First Garment,Guram Dochanashvili,Realism (arts),Adventure fiction,"The First Garment is a novel by a Georgian writer Guram Dochanashvili which serves as a retelling of The Parable of the Lost Son from the Bible. The plot follows a young, inexperienced, adventure-seeking man named Domenico who is deeply affected by the appearance and stories of a mysterious refugee in his village, and thus decides to take his inheritance and leave the village to go on adventuring. Over the years, Domenico meets many different people and gets caught up in the War of Canudos.",3728,6549,4247,8411,9566,3.41654102950678
http://dbpedia.org/resource/The_Cruise_of_the_Dazzler,1862,The Cruise of the Dazzler,Jack London,Naturalism (literature),Adventure fiction,"The Cruise of the Dazzler is an early novel by Jack London, set in his home city of San Francisco. It is considered a boy's adventure novel.In the novel, Joe Bronson, dissatisfied with his dull life at school, runs away and joins the crew of a sloop he sees in San Francisco Bay. He finds the captain is involved in criminal activities.The nautical activities on board a sailing boat are authentically described, and there are convincing descriptions of boats enduring stormy weather at sea.",53,4612,2058,6456,1942,3.37180080682495
http://dbpedia.org/resource/White_Fang,1622,White Fang,Jack London,Realism (arts),Adventure fiction,"This article is about the novel. For films and other uses, see White Fang (disambiguation).White Fang is a novel by American author Jack London (1876–1916) — and the name of the book's eponymous character, a wild wolfdog. First serialized in Outing magazine, it was published in 1906. The story takes place in Yukon Territory, Canada, during the 1890s Klondike Gold Rush and details White Fang's journey to domestication. It is a companion novel (and a thematic mirror) to London's best-known work, The Call of the Wild, which is about a kidnapped, domesticated dog embracing his wild ancestry to survive and thrive in the wild.Much of White Fang is written from the viewpoint of the titular canine character, enabling London to explore how animals view their world and how they view humans. White Fang examines the violent world of wild animals and the equally violent world of humans. The book also explores complex themes including morality and redemption.White Fang has been adapted for the screen numerous times, including a 1991 film starring Ethan Hawke.",1345,5042,7018,6972,4449,3.32780149842907
http://dbpedia.org/resource/The_Call_of_the_Wild,1863,The Call of the Wild,Jack London,Naturalism (literature),Adventure fiction,"The Call of the Wild is a short adventure novel by Jack London published in 1903 and set in Yukon, Canada during the 1890s Klondike Gold Rush, when strong sled dogs were in high demand. The central character is a dog named Buck. The story opens at a ranch in the Santa Clara Valley of California when Buck is stolen from his home and sold into service as a sled dog in Alaska. He progressively reverts to a wild state in the harsh climate, where he is forced to fight to dominate other dogs. By the end, he sheds the veneer of civilization and relies on primordial instinct and learned experience to emerge as a leader in the wild.London spent almost a year in the Yukon collecting material for the book. The story was serialized in the Saturday Evening Post in the summer of 1903; it was published a month later in book form. The book’s great popularity and success made a reputation for London. Much of its appeal derives from its simplicity as a tale of survival. As early as 1923, the story was adapted to film, and it has since seen several more cinematic adaptations.",5954,7199,1754,6392,9774,3.21990152222186
http://dbpedia.org/resource/Flight:_A_Quantum_Fiction_Novel,46,Flight: A Quantum Fiction Novel,Vanna Bonta,Quantum fiction,Adventure fiction,"Flight: A Quantum Fiction Novel is a novel by American writer Vanna Bonta.First published in 1995, Flight is about Mendle J. Orion, a writer who notices that elements from the science fiction novel he is writing begin to manifest in the real world. Bonta claimed that she invented the term and the literary genre known as quantum fiction.",1450,3439,5597,7147,1703,3.21793545717832
